Training Start:Mon, 03 Jul 2023 12:02:08 +0000

Generative Model Training Start:Mon, 03 Jul 2023 12:02:09 +0000
Iter-[10600/80740]; loss: 8.931; kl:1.196; p_loss:0.012; rec:0.009; tc:-0.000; gamma:0.028;
Iter-[10800/80740]; loss: 8.892; kl:1.012; p_loss:0.012; rec:0.008; tc:0.831; gamma:0.029;
Iter-[11000/80740]; loss: 8.507; kl:0.901; p_loss:0.011; rec:0.008; tc:0.000; gamma:0.029;
Iter-[11200/80740]; loss: 9.503; kl:1.127; p_loss:0.013; rec:0.009; tc:0.000; gamma:0.030;
Iter-[11400/80740]; loss: 8.633; kl:0.912; p_loss:0.012; rec:0.008; tc:0.832; gamma:0.030;
Iter-[11600/80740]; loss: 8.668; kl:1.101; p_loss:0.012; rec:0.008; tc:0.000; gamma:0.031;
Iter-[11800/80740]; loss: 8.476; kl:0.817; p_loss:0.013; rec:0.008; tc:-0.000; gamma:0.032;
Iter-[12000/80740]; loss: 8.749; kl:0.833; p_loss:0.010; rec:0.008; tc:0.832; gamma:0.032;
Iter-[12200/80740]; loss: 8.704; kl:1.020; p_loss:0.012; rec:0.008; tc:-0.000; gamma:0.033;
Iter-[12400/80740]; loss: 8.198; kl:0.669; p_loss:0.010; rec:0.008; tc:0.000; gamma:0.033;
Iter-[12600/80740]; loss: 9.344; kl:0.727; p_loss:0.010; rec:0.009; tc:0.832; gamma:0.034;
Iter-[12800/80740]; loss: 9.536; kl:0.939; p_loss:0.009; rec:0.009; tc:-0.000; gamma:0.034;
Iter-[13000/80740]; loss: 9.596; kl:0.746; p_loss:0.010; rec:0.009; tc:-0.000; gamma:0.035;
Iter-[13200/80740]; loss: 9.240; kl:0.810; p_loss:0.010; rec:0.009; tc:0.832; gamma:0.035;
Iter-[13400/80740]; loss: 8.379; kl:0.813; p_loss:0.009; rec:0.008; tc:-0.000; gamma:0.036;
Iter-[13600/80740]; loss: 7.376; kl:0.612; p_loss:0.008; rec:0.007; tc:-0.000; gamma:0.036;
Iter-[13800/80740]; loss: 8.365; kl:0.757; p_loss:0.008; rec:0.008; tc:0.832; gamma:0.037;
Iter-[14000/80740]; loss: 9.803; kl:0.783; p_loss:0.009; rec:0.009; tc:-0.000; gamma:0.038;
Iter-[14200/80740]; loss: 9.872; kl:0.707; p_loss:0.009; rec:0.009; tc:-0.000; gamma:0.038;
Iter-[14400/80740]; loss: 9.354; kl:0.708; p_loss:0.008; rec:0.009; tc:0.832; gamma:0.039;
Iter-[14600/80740]; loss: 7.826; kl:0.605; p_loss:0.008; rec:0.007; tc:-0.000; gamma:0.039;
Iter-[14800/80740]; loss: 8.602; kl:0.608; p_loss:0.007; rec:0.008; tc:-0.000; gamma:0.040;
Iter-[15000/80740]; loss: 9.546; kl:0.654; p_loss:0.008; rec:0.009; tc:0.832; gamma:0.040;
Iter-[15200/80740]; loss: 8.678; kl:0.686; p_loss:0.007; rec:0.008; tc:-0.000; gamma:0.041;
Iter-[15400/80740]; loss: 8.916; kl:0.558; p_loss:0.008; rec:0.008; tc:-0.000; gamma:0.041;
Iter-[15600/80740]; loss: 7.905; kl:0.546; p_loss:0.006; rec:0.007; tc:0.832; gamma:0.042;
Iter-[15800/80740]; loss: 9.136; kl:0.582; p_loss:0.008; rec:0.008; tc:-0.000; gamma:0.042;
Iter-[16000/80740]; loss: 7.652; kl:0.438; p_loss:0.006; rec:0.007; tc:-0.000; gamma:0.043;
Iter-[16200/80740]; loss: 8.033; kl:0.531; p_loss:0.007; rec:0.008; tc:0.832; gamma:0.044;
Iter-[16400/80740]; loss: 8.572; kl:0.543; p_loss:0.006; rec:0.008; tc:-0.000; gamma:0.044;
Iter-[16600/80740]; loss: 7.677; kl:0.486; p_loss:0.006; rec:0.007; tc:-0.000; gamma:0.045;
Iter-[16800/80740]; loss: 8.009; kl:0.498; p_loss:0.005; rec:0.008; tc:0.832; gamma:0.045;
Iter-[17000/80740]; loss: 8.330; kl:0.454; p_loss:0.007; rec:0.008; tc:-0.000; gamma:0.046;
Iter-[17200/80740]; loss: 8.977; kl:0.439; p_loss:0.005; rec:0.009; tc:-0.000; gamma:0.046;
Iter-[17400/80740]; loss: 8.692; kl:0.408; p_loss:0.005; rec:0.008; tc:0.832; gamma:0.047;
Iter-[17600/80740]; loss: 8.722; kl:0.530; p_loss:0.005; rec:0.008; tc:-0.000; gamma:0.047;
Iter-[17800/80740]; loss: 8.104; kl:0.496; p_loss:0.005; rec:0.008; tc:-0.000; gamma:0.048;
Iter-[18000/80740]; loss: 9.626; kl:0.537; p_loss:0.004; rec:0.009; tc:0.832; gamma:0.048;
Iter-[18200/80740]; loss: 8.698; kl:0.498; p_loss:0.006; rec:0.008; tc:0.000; gamma:0.049;
Iter-[18400/80740]; loss: 9.191; kl:0.457; p_loss:0.005; rec:0.009; tc:0.000; gamma:0.050;
Iter-[18600/80740]; loss: 9.360; kl:0.501; p_loss:0.006; rec:0.009; tc:0.832; gamma:0.050;
Iter-[18800/80740]; loss: 8.487; kl:0.531; p_loss:0.004; rec:0.008; tc:-0.000; gamma:0.051;
Iter-[19000/80740]; loss: 9.592; kl:0.510; p_loss:0.006; rec:0.009; tc:-0.000; gamma:0.051;
Iter-[19200/80740]; loss: 8.694; kl:0.478; p_loss:0.004; rec:0.008; tc:0.832; gamma:0.052;
Iter-[19400/80740]; loss: 8.857; kl:0.394; p_loss:0.004; rec:0.009; tc:0.000; gamma:0.052;
Iter-[19600/80740]; loss: 8.312; kl:0.459; p_loss:0.004; rec:0.008; tc:0.000; gamma:0.053;
Iter-[19800/80740]; loss: 8.697; kl:0.426; p_loss:0.004; rec:0.008; tc:0.832; gamma:0.053;
Iter-[20000/80740]; loss: 8.488; kl:0.376; p_loss:0.005; rec:0.008; tc:-0.000; gamma:0.054;
Iter-[20200/80740]; loss: 7.819; kl:0.381; p_loss:0.003; rec:0.008; tc:0.000; gamma:0.054;
Iter-[20400/80740]; loss: 8.480; kl:0.454; p_loss:0.004; rec:0.008; tc:0.832; gamma:0.055;
Iter-[20600/80740]; loss: 8.587; kl:0.472; p_loss:0.003; rec:0.008; tc:0.000; gamma:0.055;
Iter-[20800/80740]; loss: 8.899; kl:0.391; p_loss:0.003; rec:0.009; tc:-0.000; gamma:0.056;
Iter-[21000/80740]; loss: 8.291; kl:0.364; p_loss:0.003; rec:0.008; tc:0.832; gamma:0.057;
Iter-[21200/80740]; loss: 8.005; kl:0.335; p_loss:0.004; rec:0.008; tc:-0.000; gamma:0.057;
Iter-[21400/80740]; loss: 10.322; kl:0.572; p_loss:0.005; rec:0.010; tc:-0.000; gamma:0.058;
Iter-[21600/80740]; loss: 8.476; kl:0.364; p_loss:0.003; rec:0.008; tc:0.832; gamma:0.058;
Iter-[21800/80740]; loss: 8.075; kl:0.278; p_loss:0.003; rec:0.008; tc:0.000; gamma:0.059;
Iter-[22000/80740]; loss: 8.155; kl:0.369; p_loss:0.002; rec:0.008; tc:0.000; gamma:0.059;
Iter-[22200/80740]; loss: 9.570; kl:0.393; p_loss:0.004; rec:0.009; tc:0.832; gamma:0.060;
Iter-[22400/80740]; loss: 9.407; kl:0.403; p_loss:0.004; rec:0.009; tc:-0.000; gamma:0.060;
Iter-[22600/80740]; loss: 9.050; kl:0.378; p_loss:0.004; rec:0.009; tc:0.000; gamma:0.061;
Iter-[22800/80740]; loss: 9.146; kl:0.382; p_loss:0.003; rec:0.009; tc:0.832; gamma:0.061;
Iter-[23000/80740]; loss: 9.133; kl:0.422; p_loss:0.003; rec:0.009; tc:0.000; gamma:0.062;
Iter-[23200/80740]; loss: 7.871; kl:0.322; p_loss:0.003; rec:0.008; tc:0.001; gamma:0.063;
Iter-[23400/80740]; loss: 8.350; kl:0.282; p_loss:0.003; rec:0.008; tc:0.832; gamma:0.063;
Iter-[23600/80740]; loss: 8.873; kl:0.380; p_loss:0.002; rec:0.009; tc:0.001; gamma:0.064;
Iter-[23800/80740]; loss: 9.566; kl:0.345; p_loss:0.002; rec:0.009; tc:0.000; gamma:0.064;
Iter-[24000/80740]; loss: 8.106; kl:0.278; p_loss:0.002; rec:0.008; tc:0.832; gamma:0.065;
Iter-[24200/80740]; loss: 7.495; kl:0.250; p_loss:0.002; rec:0.007; tc:0.001; gamma:0.065;
Iter-[24400/80740]; loss: 8.982; kl:0.358; p_loss:0.003; rec:0.008; tc:0.001; gamma:0.066;
Iter-[24600/80740]; loss: 8.059; kl:0.256; p_loss:0.002; rec:0.008; tc:0.832; gamma:0.066;
Iter-[24800/80740]; loss: 9.854; kl:0.325; p_loss:0.004; rec:0.009; tc:0.001; gamma:0.067;
Iter-[25000/80740]; loss: 8.208; kl:0.266; p_loss:0.002; rec:0.008; tc:0.001; gamma:0.067;
Iter-[25200/80740]; loss: 8.784; kl:0.332; p_loss:0.004; rec:0.008; tc:0.832; gamma:0.068;
